"Carimbo de data/hora","1.Qual o seu curso?","2. Qual o período cursado?","3. Informe os 7 últimos dígitos do seu RA: (109nnnxxxxxxx) ","4. Qual o estado do Brasil que você nasceu?","5. Qual sua cidade de residência?","6. Qual é o seu gênero?","6-1.Qual é a sua orientação sexual?","7. Agora vamos falar sobre sua idade:
Em qual dia você nasceu?","7-1. Em qual mês você nasceu?","7-2. Em qual ano você nasceu?","8. Qual é o seu estado civil?","9. Você é portador de alguma deficiência? (Pode selecionar mais de uma, se for o caso)","10. Quantos filhos você tem?","11. Com quem você mora atualmente?","12. Quantas pessoas, incluindo você, moram no seu domicílio?","13. Qual a situação do domicílio onde mora?","14. Tempo de moradia neste domicílio.","15. Você possui algum animal de estimação?","15-1. Qual(is) esporte(s) você pratica?","16. Qual a faixa de renda mensal da sua família (em Salários Mínimos)?","17. Quantos de cada um dos itens abaixo há em seu domicílio? [Televisor]","17. Quantos de cada um dos itens abaixo há em seu domicílio? [Automóvel]","17. Quantos de cada um dos itens abaixo há em seu domicílio? [Motocicleta]","17. Quantos de cada um dos itens abaixo há em seu domicílio? [Máquina de Lavar e/ou tanquinho]","17. Quantos de cada um dos itens abaixo há em seu domicílio? [Geladeira]","17. Quantos de cada um dos itens abaixo há em seu domicílio? [Celular Comum]","17. Quantos de cada um dos itens abaixo há em seu domicílio? [Smartphone e/ou tablet]","17. Quantos de cada um dos itens abaixo há em seu domicílio? [Microcomputador de Mesa (desktop)]","17. Quantos de cada um dos itens abaixo há em seu domicílio? [Notebook]","18. No seu domicílio você tem: [Telefone Fixo]","18. No seu domicílio você tem: [Internet]","18. No seu domicílio você tem: [TV por assinatura]","18. No seu domicílio você tem: [Empregada Mensalista]","19. Vamos tratar sobre trabalho agora:
Você trabalha?","19-1.Qual o seu vínculo com o emprego?","19-2. Qual a área do seu trabalho?","19-3 .Qual seu horário de trabalho?","19-. Qual a empresa que você está contratado agora?","20. Você tem plano de saúde privado?","21. Vamos considerar a escolaridade da família:
Qual o grau de escolaridade do seu pai?
(Somente o ensino completo) 
","21-1.Qual o grau de escolaridade da sua mãe?
(Somente o ensino completo)","22. Na sua vida escolar você estudou:","23. Vamos tratar sobre uso de microcomputadores (notebooks e desktops):
Com que frequência você utiliza microcomputadores?","23-1 .Onde você utiliza microcomputadores (notebooks e desktops)? [Em casa]","23-1 .Onde você utiliza microcomputadores (notebooks e desktops)? [No trabalho]","23-1 .Onde você utiliza microcomputadores (notebooks e desktops)? [Na escola]","23-1 .Onde você utiliza microcomputadores (notebooks e desktops)? [Em outros lugares]","23-2.Com qual finalidade você utiliza microcomputadores (notebooks e desktops)? [Para trabalhos profissionais:]","23-2.Com qual finalidade você utiliza microcomputadores (notebooks e desktops)? [Para trabalhos escolares:]","23-2.Com qual finalidade você utiliza microcomputadores (notebooks e desktops)? [Para entretenimento (músicas, vídeos, redes sociais, etc):]","23-2.Com qual finalidade você utiliza microcomputadores (notebooks e desktops)? [Para comunicação por e-mail:]","23-2.Com qual finalidade você utiliza microcomputadores (notebooks e desktops)? [Para operações bancárias:]","23-2.Com qual finalidade você utiliza microcomputadores (notebooks e desktops)? [Para compras eletrônicas:]"," 24.Como você classifica seu conhecimento em informática?","25. Qual o seu conhecimento em relação aos aplicativos a seguir? [Windows:]","25. Qual o seu conhecimento em relação aos aplicativos a seguir? [Linux:]","25. Qual o seu conhecimento em relação aos aplicativos a seguir? [Editores de textos (Word, Writer, etc.):]","25. Qual o seu conhecimento em relação aos aplicativos a seguir? [Planilhas eletrônicas (Excel, Calc, etc.):]","25. Qual o seu conhecimento em relação aos aplicativos a seguir? [Apresentadores (Powerpoint, Impress, Prezzi, etc.):]","25. Qual o seu conhecimento em relação aos aplicativos a seguir? [Sistemas de Gestão Empresarial]","26. Agora, considere seu conhecimento sobre o idioma Inglês: [Inglês]","26-1.considere seu conhecimento sobre o idioma Espanhol: [Espanhol]","26-2. Agora, considere seu conhecimento sobre outros idiomas: [Outros idiomas]","27.Com que frequência você busca informação nos seguintes meios de comunicação: [TV]","27.Com que frequência você busca informação nos seguintes meios de comunicação: [Internet]","27.Com que frequência você busca informação nos seguintes meios de comunicação: [Revistas]","27.Com que frequência você busca informação nos seguintes meios de comunicação: [Jornais (meio impresso)]","27.Com que frequência você busca informação nos seguintes meios de comunicação: [Rádio]","27.Com que frequência você busca informação nos seguintes meios de comunicação: [Redes sociais]","27.Com que frequência você busca informação nos seguintes meios de comunicação: [Conversas com amigos]","28. Se você lê jornal (digital ou impresso), qual a frequência?","29. Se você lê jornal (digital ou impresso), quais os assuntos que mais lê?","30. Não considerando os livros escolares, quantos livros você lê por ano (em média)?","31. Se você lê livros literários, qual o gênero preferido?","32. Você dedica parte do seu tempo para atividades voluntárias?","33. Qual religião você professa?","34. Quais fontes de entretenimento cultural você usa?","35. Estamos quase acabando... Como conheceu a FATEC Franca?","36. Porque você escolheu este curso?","37. Qual sua maior expectativa quanto ao curso?","38. Qual sua expectativa após se formar?","39. Você já estudou na FATEC - Franca?","40. Você fez ou faz algum curso técnico?","41. Qual o meio de transporte você usa para vir à escola?","42. Escreva algumas linhas sobre sua história e seus sonhos de vida."
"2022/09/05 8:48:36 PM GMT-3","ADS","Noturno","2213002","São Paulo (SP)","FRANCA","Mulher cis","Bissexual","1","Junho","2004","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","3 pessoas","Financiado","3 a 4 anos","Cachorro","Nenhum","Mais que 2 até 5 SM (R$ 2.424 - R$6.060 )","2","1","0","1","1","0","3","0","1","Não","Sim","Não","Não","Sim","Sou registrado no comércio","Trabalho fora da área do curso","Manhã e tarde","Magalu","Tenho e é um plano familiar","Ensino Médio","Ensino Superior","Sempre em escola pública","Sempre (5 vezes por semana ou mais)","","","","","","","","","","","Pouco","Nenhum","Nenhum","Pouco","Pouco","Intermediário","Nenhum","Básico","Intermediário","Não fala","Nunca","Às vezes","Nunca","Nunca","Nunca","Às vezes","Sempre","Raramente","Lazer, arte e cultura","Até 2","Romance;Ficção;Aventura","Não","Evangélica","Cinema;Filmes na internet;Música;Viagens;Games","Indicação de familiar/amigo","Este curso forma profissionais facilmente absorvidos pelo mercado","Obter novos conhecimentos;Obter competências para exercício de uma profissão;Conhecer novas pessoas;Melhorar-me como pessoa para bons relacionamentos futuros;Obter um diploma de nível superior","Conquistar vaga em empresa privada;Melhorar cargo e salário na empresa que trabalho","Não","Sim, no SENAI","Ônibus","Infância difícil, sozinha, não ficar sozinha igual antigamente e ganhar dinheiro na profissão que desejo"
"2022/09/05 8:56:39 PM GMT-3","ADS","Noturno","2213015","São Paulo (SP)","FRANCA","Homem cis","Heterossexual","28","Fevereiro","1997","Casado(a) ou União Estável","Nenhuma","Nenhum","Com esposa(o) e(ou) filho(s)","2 pessoas","Próprio","Menos de 1 ano","Nenhum","Futebol/Futsal;Outro(s)","Mais que 5 até 10 SM (R$ 6.060 - R$ 12.120)","1","1","2","1","1","0","2","0","2","Não","Sim","Não","Não","Sim","Sou autônomo","Trabalho fora da área do curso","Manhã e tarde","Jardini Imóveis ","Não tenho, uso o SUS","Ensino Superior","Ensino fundamental I (1º ao 5º anos)","Sempre em escola pública","Nunca","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Intermediário","Intermediário","Pouco","Intermediário","Intermediário","Pouco","Nenhum","Intermediário","Básico","Intermediário","Às vezes","Sempre","Nunca","Nunca","Pouco","Às vezes","Às vezes","Não leio","Não leio jormal","Até 2","Autoajuda","Não","Evangélica","Viagens","Indicação de familiar/amigo","Minha intenção é seguir esta carreira","Obter novos conhecimentos;Obter competências para exercício de uma profissão","Conquistar vaga em empresa privada","Não","Não fiz","Carro (próprio)","Olá meu nome é Igor tenho 25 anos sou casado e estudo"
"2022/09/05 8:57:55 PM GMT-3","ADS","Noturno","2213025","São Paulo (SP)","FRANCA","Mulher cis","Heterossexual","26","Janeiro","1989","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","2 pessoas","Próprio","Mais de 5 anos","Gato","Academia","Mais que 2 até 5 SM (R$ 2.424 - R$6.060 )","1","1","1","1","1","1","1","0","1","Não","Sim","Não","Não","Sim","Sou autônomo","Trabalho fora da área do curso","Manhã e tarde","Nenhuma sou autônomo","Não tenho, uso o SUS","Ensino fundamental I (1º ao 5º anos)","Ensino Médio","Sempre em escola pública","Muito (3 ou 4 vezes por semana)","","","","","","","","","","","Pouco","Intermediário","Nenhum","Pouco","Pouco","Pouco","Nenhum","Não fala","Não fala","Não fala","Às vezes","Às vezes","Nunca","Nunca","Pouco","Às vezes","Às vezes","Raramente","Não leio jormal","Até 2","Não leio","Não","Espírita","Filmes na internet;TV;Viagens","Indicação de familiar/amigo","Este curso forma profissionais facilmente absorvidos pelo mercado","Obter competências para exercício de uma profissão","Conquistar vaga em empresa privada","Não","Sim, no SENAC","Moto (própria)","Minha expectativa é absorver o máximo de conhecimento e ingressar no mercado de trabalho."
"2022/09/05 9:09:07 PM GMT-3","ADS","Noturno","2213034","São Paulo (SP)","Pedregulho","Mulher cis","Bissexual","10","Junho","1994","Casado(a) ou União Estável","Nenhuma","Nenhum","Com esposa(o) e(ou) filho(s)","2 pessoas","Alugado","2 a 3 anos","Gato","Nenhum","Mais que 2 até 5 SM (R$ 2.424 - R$6.060 )","1","0","1","1","1","0","3","0","1","Sim","Não","Sim","Sim","Sim","Sou registrado em empresa pública (federal/estadual/municipal)","Trabalho fora da área do curso","Manhã e noite","Prefeitura Municipal de Pedregulho","Tenho e é pago parcialmente pela empresa","Ensino Superior","Ensino Superior","A maior parte em escola pública","Às vezes (2 ou 3 vezes por semana)","","","","","","","","","","","Intermediário","Intermediário","Pouco","Intermediário","Intermediário","Intermediário","Nenhum","Intermediário","Básico","Não fala","Pouco","Sempre","Pouco","Nunca","Nunca","Às vezes","Sempre","Algumas vezes por semana","Notícias nacionais","De 3 até 6","Romance;Ficção","Sim","Espírita","Cinema;Exposições de arte;Filmes na internet;Literatura;Museus;Música;TV;Viagens;Games","Por outdoor","Minha intenção é seguir esta carreira","Obter novos conhecimentos;Obter competências para exercício de uma profissão;Conhecer novas pessoas","Conquistar vaga em empresa privada","Não","Não fiz","Ônibus",""
"2022/09/05 9:09:36 PM GMT-3","ADS","Noturno","2213011","São Paulo (SP)","FRANCA","Homem cis","Heterossexual","29","Março","2004","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","5 ou mais pessoas","Próprio","Mais de 5 anos","Nenhum","Nenhum","Até 2 SM (R$ 2.424)","2","1","0","2","2","0","2","0","1","Não","Sim","Não","Não","Sim","Sou registrado em empresa prestadora de serviços","Trabalho fora da área do curso","Manhã e tarde","Casa inteligente ","Não tenho, uso o SUS","Ensino Médio","Ensino Superior","Sempre em escola pública","Sempre (5 vezes por semana ou mais)","","","","","","","","","","","Intermediário","Intermediário","Pouco","Intermediário","Intermediário","Pouco","Intermediário","Básico","Não fala","Não fala","Nunca","Às vezes","Nunca","Nunca","Nunca","Nunca","Às vezes","Não leio","Não leio jormal","Até 2","Romance;Ficção","Não","Nenhuma","Cinema;Filmes na internet;Literatura;Música;TV;Games","Propaganda na escola que estudava","Este curso forma profissionais facilmente absorvidos pelo mercado","Conhecer novas pessoas","Conquistar vaga em empresa privada","Não","Não fiz","Carro (próprio)","Quero ser rico "
"2022/09/05 9:13:06 PM GMT-3","ADS","Matutino","2213020","São Paulo (SP)","FRANCA","Mulher cis","Heterossexual","14","Maio","2004","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","4 pessoas","Financiado","Mais de 5 anos","Nenhum","Nenhum","Até 2 SM (R$ 2.424)","1","1","0","1","1","2","4+","1","1","Sim","Sim","Sim","Não","Sim","Sou estagiário","Trabalho fora da área do curso","Manhã e tarde","Rizatti - Ambev","Não tenho, uso o SUS","Ensino Médio","Ensino Superior","Sempre em escola pública","Pouco (1 ou 2 vezes por semana)","","","","","","","","","","","Muito","Avançado","Nenhum","Avançado","Intermediário","Avançado","Nenhum","Intermediário","Básico","Básico","Nunca","Sempre","Nunca","Nunca","Nunca","Pouco","Pouco","Não leio","Não leio jormal","De 7 a 10","Romance;Ficção;Policial;Aventura","Não","Nenhuma","Filmes na internet;Literatura;TV;Games","Propaganda na escola que estudava","Minha intenção é seguir esta carreira","Obter novos conhecimentos;Obter competências para exercício de uma profissão;Obter um diploma de nível superior","Conquistar vaga em empresa privada;Ingressar na carreira acadêmica","Não","Sim, em uma ETEC","Caminhando","Eu quero trabalhar e ganhar um salário decente para não precisar pegar ônibus."
"2022/09/05 9:13:27 PM GMT-3","ADS","Noturno","2213042","Distrito Federal (DF)","FRANCA","Mulher cis","Heterossexual","10","Maio","2004","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","4 pessoas","Próprio","Menos de 1 ano","Gato","Nenhum","Mais que 2 até 5 SM (R$ 2.424 - R$6.060 )","1","1","1","1","1","0","4+","1","1","Sim","Sim","Sim","Não","Sim","Sou registrado no comércio","Trabalho fora da área do curso","Manhã e tarde","Magazine Luiza ","Tenho e é pago parcialmente pela empresa","Ensino fundamental I (1º ao 5º anos)","Ensino fundamental I (1º ao 5º anos)","Sempre em escola pública","Sempre (5 vezes por semana ou mais)","","","","","","","","","","","Intermediário","Intermediário","Pouco","Intermediário","Intermediário","Intermediário","Pouco","Intermediário","Básico","Não fala","Às vezes","Sempre","Nunca","Nunca","Pouco","Às vezes","Às vezes","Não leio","Não leio jormal","De 7 a 10","Romance;Ficção;Policial;Aventura","Não","Prefiro não responder","Cinema;Filmes na internet;Literatura;Música;Teatro;TV;Viagens","Propaganda na escola que estudava","Minha intenção é seguir esta carreira","Obter competências para exercício de uma profissão","Melhorar cargo e salário na empresa que trabalho","Sim","Não fiz","Ônibus","Nasci em Brasília, me mudei para Franca com 11 anos de idade. Meu sonho de vida é ser bem sucedida na carreira e ter uma vida estável."
"2022/09/05 9:44:36 PM GMT-3","ADS","Noturno","2213036","São Paulo (SP)","FRANCA","Mulher cis","Heterossexual","23","Março","1995","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","3 pessoas","Próprio","Menos de 1 ano","Cachorro","Artes Maciais;Skate/Patins","Mais que 5 até 10 SM (R$ 6.060 - R$ 12.120)","3","1","0","1","1","0","3","1","2","Sim","Sim","Sim","Não","Sim","Entidade sem fins lucrativos","Trabalho fora da área do curso","Manhã e tarde","ACIF - Associação do Comércio e Indústria de Franca","Tenho e é pago parcialmente pela empresa","Ensino Superior","Ensino Médio","Sempre em escola pública","Sempre (5 vezes por semana ou mais)","","","","","","","","","","","Intermediário","Intermediário","Pouco","Avançado","Avançado","Avançado","Intermediário","Intermediário","Intermediário","Fluente","Pouco","Sempre","Nunca","Nunca","Nunca","Pouco","Às vezes","Diariamente","Todos os assuntos","Mais de 10","Ficção;Policial;Aventura","Sim","Espírita","Cinema;Literatura;Música;TV;Games","Indicação de familiar/amigo","Minha intenção é seguir esta carreira","Obter novos conhecimentos;Obter competências para exercício de uma profissão","Prestar concurso público;Abrir meu próprio negócio","Sim","Não fiz","Carro (próprio)","Desejo ingressar na area como desenvolvedor full stack e, no futuro, ter minha própria empresa prestando serviço para fora do País."
"2022/09/05 9:52:24 PM GMT-3","ADS","Matutino","2211010","São Paulo (SP)","FRANCA","Homem cis","Heterossexual","5","Julho","1997","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","3 pessoas","Próprio","Mais de 5 anos","Gato","Academia","Mais que 2 até 5 SM (R$ 2.424 - R$6.060 )","1","1","0","1","1","0","1","1","0","Sim","Sim","Sim","Não","Não","","","","","Não tenho, uso o SUS","Ensino Médio","Ensino fundamental II (6º ao 9º anos)","Sempre em escola pública","Sempre (5 vezes por semana ou mais)","","","","","","","","","","","Muito","Avançado","Nenhum","Intermediário","Intermediário","Intermediário","Pouco","Fluente","Básico","Não fala","Às vezes","Sempre","Nunca","Nunca","Pouco","Pouco","Sempre","Raramente","Notícias nacionais","Nenhum","Não leio","Não","Espírita","Cinema;Filmes na internet;TV;Games","Indicação de familiar/amigo","Este curso forma profissionais facilmente absorvidos pelo mercado","Obter competências para exercício de uma profissão","Conquistar vaga em empresa privada","Não","Sim, no SENAI","Carona","Vivo a vida toda em franca, gosto de jogos e animes, e no momento procuro um emprego"
"2022/09/06 12:39:42 AM GMT-3","ADS","Noturno","2213048","São Paulo (SP)","FRANCA","Homem cis","Heterossexual","13","Novembro","1988","Casado(a) ou União Estável","Nenhuma","Dois","Com esposa(o) e(ou) filho(s)","4 pessoas","Financiado","Mais de 5 anos","Cachorro","Nenhum","Mais que 5 até 10 SM (R$ 6.060 - R$ 12.120)","1","3","2","1","1","0","3","0","2","Sim","Sim","Não","Não","Sim","Sou registrado em indústria (calçados/confecções/outras)","Trabalho fora da área do curso","Manhã e tarde","Grupo Amazonas Quimicam","Não tenho, uso o SUS","Ensino Médio","Ensino Médio","Sempre em escola pública","Muito (3 ou 4 vezes por semana)","","","","","","","","","","","Intermediário","Pouco","Nenhum","Intermediário","Intermediário","Pouco","Nenhum","Não fala","Não fala","Não fala","Pouco","Sempre","Nunca","Nunca","Pouco","Às vezes","Pouco","Não leio","Não leio jormal","Nenhum","Não leio","Sim","Evangélica","Nenhuma","Indicação de familiar/amigo","Conhecimento Profissional","Obter novos conhecimentos","Melhorar cargo e salário na empresa que trabalho","Não","Sim, em uma ETEC","Moto (própria)","Procurar sempre apreender em todas as áreas da vida "
"2022/09/06 12:45:30 AM GMT-3","ADS","Noturno","2213035","São Paulo (SP)","FRANCA","Homem cis","Homossexual","12","Setembro","1991","Solteiro(a)","Nenhuma","Nenhum","Sozinho","Somente eu","Alugado","Menos de 1 ano","Nenhum","Nenhum","Mais que 2 até 5 SM (R$ 2.424 - R$6.060 )","1","0","0","0","1","0","1","0","1","Não","Sim","Não","Não","Sim","Sou registrado em empresa prestadora de serviços","Trabalho na área do curso","Manhã e tarde","Luizalabs","Tenho e é pago parcialmente pela empresa","Ensino fundamental I (1º ao 5º anos)","Nenhuma escolaridade","Sempre em escola pública","Sempre (5 vezes por semana ou mais)","","","","","","","","","","","Muito","Intermediário","Nenhum","Avançado","Avançado","Avançado","Intermediário","Intermediário","Não fala","Não fala","Pouco","Sempre","Nunca","Nunca","Pouco","Às vezes","Às vezes","Algumas vezes por semana","Notícias nacionais","Até 2","Aventura","Sim","Evangélica","Cinema;Filmes na internet;Música;TV","Indicação de familiar/amigo","Minha intenção é seguir esta carreira","Obter novos conhecimentos;Obter competências para exercício de uma profissão","Conquistar vaga em empresa privada;Melhorar cargo e salário na empresa que trabalho;Ingressar na carreira acadêmica","Não","Sim, em uma ETEC","Carro por aplicativo (Uber, 99, etc.)","Prefiro não compartilhar minha história de vida! Meus sonhos são: Ter uma casa própria, conhecer no mínimo 5 países e escrever/ilustrar um livro."
"2022/09/06 6:56:36 AM GMT-3","ADS","Noturno","2213012","São Paulo (SP)","FRANCA","Homem cis","Heterossexual","2","Dezembro","1990","Casado(a) ou União Estável","Nenhuma","Nenhum","Com esposa(o) e(ou) filho(s)","5 ou mais pessoas","Próprio","3 a 4 anos","Cachorro","Nenhum","Até 2 SM (R$ 2.424)","4+","1","1","2","1","0","4+","0","2","Não","Sim","Não","Não","Sim","Sou registrado em indústria (calçados/confecções/outras)","Trabalho fora da área do curso","Manhã e tarde","Cotton shoes ","Não tenho, uso o SUS","Ensino fundamental I (1º ao 5º anos)","Ensino Médio","Sempre em escola pública","Sempre (5 vezes por semana ou mais)","","","","","","","","","","","Intermediário","Intermediário","Nenhum","Intermediário","Intermediário","Pouco","Intermediário","Básico","Não fala","Não fala","Pouco","Sempre","Nunca","Às vezes","Pouco","Às vezes","Às vezes","Diariamente","Notícias locais","Nenhum","Não leio","Não","Evangélica","Viagens","Indicação de familiar/amigo","Minha intenção é seguir esta carreira","Obter competências para exercício de uma profissão","Conquistar vaga em empresa privada","Não","Sim, em uma ETEC","Moto (própria)","Casado sem filhos busco sempre motivações pessoais e profissionais sou focado no que faço e busco sempre encarar novos desafios gosto de viajar e estar em contato com a natureza."
